gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,total_score,score_difference,pass
female,group B,high school,free/reduced,none,50,67,63,60.0,180,17,1
female,group C,associate's degree,standard,none,85,89,95,89.66666666666667,269,4,1
male,group B,some high school,standard,none,74,63,57,64.66666666666667,194,-11,1
male,group D,some high school,standard,none,60,59,54,57.666666666666664,173,-1,1
female,group C,some high school,standard,completed,59,54,67,60.0,180,-5,1
male,group A,some college,standard,none,53,43,43,46.333333333333336,139,-10,1
female,group A,some college,free/reduced,none,49,65,55,56.333333333333336,169,16,1
female,group D,high school,standard,completed,88,99,100,95.66666666666667,287,11,1
female,group C,high school,standard,none,54,59,62,58.333333333333336,175,5,1
female,group C,some high school,standard,none,63,73,68,68.0,204,10,1
male,group B,associate's degree,standard,completed,65,65,63,64.33333333333333,193,0,1
female,group B,associate's degree,standard,none,82,80,77,79.66666666666667,239,-2,1
female,group D,high school,free/reduced,completed,52,57,56,55.0,165,5,1
male,group D,associate's degree,standard,completed,87,84,85,85.33333333333333,256,-3,1
female,group D,master's degree,standard,completed,70,71,74,71.66666666666667,215,1,1
male,group E,some college,standard,completed,84,83,78,81.66666666666667,245,-1,1
male,group D,associate's degree,standard,none,71,66,60,65.66666666666667,197,-5,1
male,group B,some high school,standard,completed,63,67,67,65.66666666666667,197,4,1
female,group C,bachelor's degree,free/reduced,completed,51,72,79,67.33333333333333,202,21,1
male,group E,high school,standard,none,84,73,69,75.33333333333333,226,-11,1
male,group C,bachelor's degree,standard,completed,71,74,68,71.0,213,3,1
male,group C,associate's degree,standard,none,74,73,67,71.33333333333333,214,-1,1
male,group D,some college,standard,none,68,59,62,63.0,189,-9,1
male,group E,high school,free/reduced,completed,57,56,54,55.666666666666664,167,-1,1
female,group C,associate's degree,free/reduced,completed,82,93,93,89.33333333333333,268,11,1
female,group D,high school,standard,completed,57,58,64,59.666666666666664,179,1,1
female,group D,master's degree,free/reduced,completed,47,58,67,57.333333333333336,172,11,1
female,group A,some high school,standard,completed,59,85,80,74.66666666666667,224,26,1
male,group B,some college,free/reduced,none,41,39,34,38.0,114,-2,0
female,group C,some college,free/reduced,none,62,67,62,63.666666666666664,191,5,1
male,group C,bachelor's degree,standard,none,86,83,86,85.0,255,-3,1
male,group C,some high school,free/reduced,none,69,71,65,68.33333333333333,205,2,1
male,group A,some high school,free/reduced,none,65,59,53,59.0,177,-6,1
male,group C,some high school,free/reduced,none,68,63,54,61.666666666666664,185,-5,1
male,group C,associate's degree,free/reduced,none,64,66,59,63.0,189,2,1
female,group C,high school,standard,none,61,72,70,67.66666666666667,203,11,1
male,group C,high school,standard,none,61,56,55,57.333333333333336,172,-5,1
female,group A,some high school,free/reduced,none,47,59,50,52.0,156,12,1
male,group C,some high school,standard,none,73,66,66,68.33333333333333,205,-7,1
male,group C,some college,free/reduced,completed,50,48,53,50.333333333333336,151,-2,1
male,group D,associate's degree,standard,none,75,68,64,69.0,207,-7,1
male,group D,associate's degree,free/reduced,none,75,66,73,71.33333333333333,214,-9,1
male,group C,high school,standard,none,70,56,51,59.0,177,-14,1
male,group D,some high school,standard,completed,89,88,82,86.33333333333333,259,-1,1
female,group C,some college,standard,completed,67,81,79,75.66666666666667,227,14,1
female,group D,high school,standard,none,78,81,80,79.66666666666667,239,3,1
female,group A,some high school,free/reduced,none,59,73,69,67.0,201,14,1
female,group B,associate's degree,standard,none,73,83,76,77.33333333333333,232,10,1
male,group A,some high school,free/reduced,none,79,82,73,78.0,234,3,1
female,group C,some high school,standard,completed,67,74,77,72.66666666666667,218,7,1
male,group D,some college,free/reduced,none,69,66,60,65.0,195,-3,1
male,group C,high school,standard,completed,86,81,80,82.33333333333333,247,-5,1
male,group B,high school,standard,none,47,46,42,45.0,135,-1,1
male,group B,associate's degree,standard,none,81,73,72,75.33333333333333,226,-8,1
female,group C,some college,free/reduced,completed,64,85,85,78.0,234,21,1
female,group E,some college,standard,none,100,92,97,96.33333333333333,289,-8,1
female,group C,associate's degree,free/reduced,none,65,77,74,72.0,216,12,1
male,group C,some college,free/reduced,none,65,58,49,57.333333333333336,172,-7,1
female,group C,associate's degree,free/reduced,none,53,61,62,58.666666666666664,176,8,1
male,group C,bachelor's degree,free/reduced,none,37,56,47,46.666666666666664,140,19,0
female,group D,bachelor's degree,standard,none,79,89,89,85.66666666666667,257,10,1
male,group D,associate's degree,free/reduced,none,53,54,48,51.666666666666664,155,1,1
female,group E,bachelor's degree,standard,none,100,100,100,100.0,300,0,1
male,group B,high school,standard,completed,72,65,68,68.33333333333333,205,-7,1
male,group C,bachelor's degree,free/reduced,none,53,58,55,55.333333333333336,166,5,1
male,group B,some college,free/reduced,none,54,54,45,51.0,153,0,1
female,group E,some college,standard,none,71,70,76,72.33333333333333,217,-1,1
female,group C,some college,free/reduced,none,77,90,91,86.0,258,13,1
male,group A,bachelor's degree,standard,completed,75,58,62,65.0,195,-17,1
female,group C,some college,standard,none,84,87,91,87.33333333333333,262,3,1
female,group D,associate's degree,free/reduced,none,26,31,38,31.666666666666668,95,5,0
male,group A,high school,free/reduced,completed,72,67,65,68.0,204,-5,1
female,group A,high school,free/reduced,completed,77,88,85,83.33333333333333,250,11,1
male,group C,some college,standard,none,91,74,76,80.33333333333333,241,-17,1
female,group C,associate's degree,standard,completed,83,85,90,86.0,258,2,1
female,group C,high school,standard,none,63,69,74,68.66666666666667,206,6,1
female,group C,associate's degree,standard,completed,68,86,84,79.33333333333333,238,18,1
female,group D,some high school,standard,none,59,67,61,62.333333333333336,187,8,1
female,group B,associate's degree,standard,completed,90,90,91,90.33333333333333,271,0,1
female,group D,bachelor's degree,standard,completed,71,76,83,76.66666666666667,230,5,1
male,group E,bachelor's degree,standard,completed,76,62,66,68.0,204,-14,1
male,group D,associate's degree,standard,none,80,68,72,73.33333333333333,220,-12,1
female,group D,master's degree,standard,none,55,64,70,63.0,189,9,1
male,group E,associate's degree,standard,none,76,71,67,71.33333333333333,214,-5,1
male,group B,high school,standard,completed,73,71,68,70.66666666666667,212,-2,1
female,group D,associate's degree,free/reduced,none,52,59,56,55.666666666666664,167,7,1
male,group C,some college,free/reduced,none,68,68,61,65.66666666666667,197,0,1
male,group A,high school,standard,none,59,52,46,52.333333333333336,157,-7,1
female,group B,associate's degree,standard,none,49,52,54,51.666666666666664,155,3,1
male,group C,high school,standard,none,70,74,71,71.66666666666667,215,4,1
male,group D,some college,free/reduced,none,61,47,56,54.666666666666664,164,-14,1
female,group C,associate's degree,free/reduced,none,60,75,74,69.66666666666667,209,15,1
male,group B,some high school,standard,completed,64,53,57,58.0,174,-11,1
male,group A,associate's degree,free/reduced,completed,79,82,82,81.0,243,3,1
female,group A,associate's degree,free/reduced,none,65,85,76,75.33333333333333,226,20,1
female,group C,associate's degree,standard,none,64,64,70,66.0,198,0,1
female,group C,some college,standard,none,83,83,90,85.33333333333333,256,0,1
female,group C,bachelor's degree,standard,none,81,88,90,86.33333333333333,259,7,1
female,group B,high school,standard,none,54,64,68,62.0,186,10,1
male,group D,high school,standard,completed,68,64,66,66.0,198,-4,1
female,group C,some college,standard,none,54,48,52,51.333333333333336,154,-6,1
female,group D,some college,free/reduced,completed,59,78,76,71.0,213,19,1
female,group B,some high school,standard,none,66,69,68,67.66666666666667,203,3,1
male,group E,some college,standard,none,76,71,72,73.0,219,-5,1
female,group D,master's degree,standard,none,74,79,82,78.33333333333333,235,5,1
female,group B,associate's degree,standard,completed,94,87,92,91.0,273,-7,1
male,group C,some college,free/reduced,none,63,61,54,59.333333333333336,178,-2,1
female,group E,associate's degree,standard,completed,95,89,92,92.0,276,-6,1
female,group D,master's degree,free/reduced,none,40,59,54,51.0,153,19,1
female,group B,some high school,standard,none,82,82,80,81.33333333333333,244,0,1
male,group A,high school,standard,none,68,70,66,68.0,204,2,1
male,group B,bachelor's degree,free/reduced,none,55,59,54,56.0,168,4,1
male,group C,master's degree,standard,none,79,78,77,78.0,234,-1,1
female,group C,bachelor's degree,standard,none,86,92,87,88.33333333333333,265,6,1
male,group D,some college,standard,none,76,71,73,73.33333333333333,220,-5,1
male,group A,some high school,standard,none,64,50,43,52.333333333333336,157,-14,1
male,group D,some high school,free/reduced,none,62,49,52,54.333333333333336,163,-13,1
female,group B,some high school,standard,completed,54,61,62,59.0,177,7,1
female,group B,master's degree,free/reduced,completed,77,97,94,89.33333333333333,268,20,1
female,group C,some high school,standard,completed,76,87,85,82.66666666666667,248,11,1
female,group D,some college,standard,none,74,89,84,82.33333333333333,247,15,1
female,group E,some college,standard,completed,66,74,73,71.0,213,8,1
female,group D,some high school,standard,completed,66,78,78,74.0,222,12,1
female,group B,high school,free/reduced,completed,67,78,79,74.66666666666667,224,11,1
male,group D,some college,standard,none,71,49,52,57.333333333333336,172,-22,1
female,group C,associate's degree,standard,none,91,86,84,87.0,261,-5,1
male,group D,bachelor's degree,standard,none,69,58,57,61.333333333333336,184,-11,1
male,group C,master's degree,free/reduced,none,54,59,50,54.333333333333336,163,5,1
male,group C,high school,standard,completed,53,52,49,51.333333333333336,154,-1,1
male,group E,some college,standard,none,68,60,59,62.333333333333336,187,-8,1
male,group C,some high school,free/reduced,completed,56,61,60,59.0,177,5,1
female,group C,high school,free/reduced,none,36,53,43,44.0,132,17,0
female,group D,bachelor's degree,free/reduced,none,29,41,47,39.0,117,12,0
female,group C,associate's degree,standard,none,62,74,70,68.66666666666667,206,12,1
female,group C,associate's degree,standard,completed,68,67,73,69.33333333333333,208,-1,1
female,group C,some high school,standard,none,47,54,53,51.333333333333336,154,7,1
male,group E,associate's degree,standard,completed,62,61,58,60.333333333333336,181,-1,1
female,group E,associate's degree,standard,completed,79,88,94,87.0,261,9,1
male,group B,high school,standard,completed,73,69,68,70.0,210,-4,1
female,group C,bachelor's degree,free/reduced,completed,66,83,83,77.33333333333333,232,17,1
male,group C,associate's degree,standard,completed,51,60,58,56.333333333333336,169,9,1
female,group D,high school,standard,none,51,66,62,59.666666666666664,179,15,1
male,group E,bachelor's degree,standard,completed,85,66,71,74.0,222,-19,1
male,group A,associate's degree,standard,completed,97,92,86,91.66666666666667,275,-5,1
male,group C,high school,standard,completed,75,69,68,70.66666666666667,212,-6,1
male,group D,associate's degree,free/reduced,completed,79,82,80,80.33333333333333,241,3,1
female,group C,associate's degree,standard,none,81,77,79,79.0,237,-4,1
female,group D,associate's degree,standard,none,82,95,89,88.66666666666667,266,13,1
female,group D,master's degree,standard,none,64,63,66,64.33333333333333,193,-1,1
male,group E,some high school,free/reduced,completed,78,83,80,80.33333333333333,241,5,1
female,group A,some high school,standard,completed,92,100,97,96.33333333333333,289,8,1
male,group C,high school,standard,completed,72,67,64,67.66666666666667,203,-5,1
female,group C,high school,free/reduced,none,62,67,64,64.33333333333333,193,5,1
male,group C,master's degree,standard,none,79,72,69,73.33333333333333,220,-7,1
male,group C,some high school,free/reduced,none,79,76,65,73.33333333333333,220,-3,1
male,group B,bachelor's degree,free/reduced,completed,87,90,88,88.33333333333333,265,3,1
female,group B,associate's degree,standard,none,40,48,50,46.0,138,8,1
male,group D,some college,free/reduced,none,77,62,64,67.66666666666667,203,-15,1
male,group E,associate's degree,standard,none,53,45,40,46.0,138,-8,1
female,group C,some college,free/reduced,none,32,39,33,34.666666666666664,104,7,0
female,group C,associate's degree,standard,completed,55,72,79,68.66666666666667,206,17,1
male,group C,master's degree,free/reduced,none,61,67,66,64.66666666666667,194,6,1
female,group B,associate's degree,free/reduced,none,53,70,70,64.33333333333333,193,17,1
male,group D,some high school,standard,none,73,66,62,67.0,201,-7,1
female,group D,some college,standard,completed,74,75,79,76.0,228,1,1
female,group C,some college,standard,none,63,74,74,70.33333333333333,211,11,1
male,group C,bachelor's degree,standard,completed,96,90,92,92.66666666666667,278,-6,1
female,group D,some college,free/reduced,completed,63,80,80,74.33333333333333,223,17,1
male,group B,bachelor's degree,free/reduced,none,48,51,46,48.333333333333336,145,3,1
male,group B,associate's degree,standard,none,48,43,45,45.333333333333336,136,-5,1
female,group E,bachelor's degree,free/reduced,completed,92,100,100,97.33333333333333,292,8,1
female,group D,master's degree,free/reduced,completed,61,71,78,70.0,210,10,1
male,group B,high school,free/reduced,none,63,48,47,52.666666666666664,158,-15,1
male,group D,bachelor's degree,free/reduced,none,68,68,67,67.66666666666667,203,0,1
male,group B,some college,standard,completed,71,75,70,72.0,216,4,1
male,group A,bachelor's degree,standard,none,91,96,92,93.0,279,5,1
female,group C,some college,standard,none,53,62,56,57.0,171,9,1
female,group C,high school,free/reduced,completed,50,66,64,60.0,180,16,1
female,group E,high school,standard,none,74,81,71,75.33333333333333,226,7,1
male,group A,associate's degree,free/reduced,completed,40,55,53,49.333333333333336,148,15,1
male,group A,some college,standard,completed,61,51,52,54.666666666666664,164,-10,1
female,group B,high school,standard,none,81,91,89,87.0,261,10,1
female,group B,some college,free/reduced,completed,48,56,58,54.0,162,8,1
female,group D,master's degree,standard,none,53,61,68,60.666666666666664,182,8,1
female,group D,some high school,standard,none,81,97,96,91.33333333333333,274,16,1
female,group E,some high school,standard,none,77,79,80,78.66666666666667,236,2,1
female,group D,bachelor's degree,free/reduced,none,63,73,78,71.33333333333333,214,10,1
female,group D,associate's degree,standard,completed,73,75,80,76.0,228,2,1
female,group D,some college,standard,none,69,77,77,74.33333333333333,223,8,1
female,group C,associate's degree,standard,none,65,76,76,72.33333333333333,217,11,1
female,group A,high school,standard,none,55,73,73,67.0,201,18,1
female,group C,bachelor's degree,free/reduced,none,44,63,62,56.333333333333336,169,19,1
female,group C,some college,standard,none,54,64,65,61.0,183,10,1
female,group A,some high school,standard,none,48,66,65,59.666666666666664,179,18,1
male,group C,some college,free/reduced,none,58,57,54,56.333333333333336,169,-1,1
male,group A,some high school,standard,none,71,62,50,61.0,183,-9,1
male,group E,bachelor's degree,standard,none,68,68,64,66.66666666666667,200,0,1
female,group E,high school,standard,none,74,76,73,74.33333333333333,223,2,1
female,group C,bachelor's degree,standard,completed,92,100,99,97.0,291,8,1
female,group C,bachelor's degree,standard,completed,56,79,72,69.0,207,23,1
male,group B,high school,free/reduced,none,30,24,15,23.0,69,-6,0
male,group A,some high school,standard,none,53,54,48,51.666666666666664,155,1,1
female,group D,high school,standard,none,69,77,73,73.0,219,8,1
female,group D,some high school,standard,none,65,82,81,76.0,228,17,1
female,group D,master's degree,standard,none,54,60,63,59.0,177,6,1
female,group C,high school,standard,none,29,29,30,29.333333333333332,88,0,0
female,group E,some college,standard,none,76,78,80,78.0,234,2,1
male,group D,high school,free/reduced,none,60,57,51,56.0,168,-3,1
male,group D,master's degree,free/reduced,completed,84,89,90,87.66666666666667,263,5,1
male,group C,some high school,standard,none,75,72,62,69.66666666666667,209,-3,1
female,group C,associate's degree,standard,none,85,84,82,83.66666666666667,251,-1,1
female,group C,master's degree,free/reduced,none,40,58,54,50.666666666666664,152,18,1
female,group E,some college,standard,none,61,64,62,62.333333333333336,187,3,1
female,group B,associate's degree,standard,none,58,63,65,62.0,186,5,1
male,group D,some college,free/reduced,completed,69,60,63,64.0,192,-9,1
female,group C,some college,standard,none,58,59,66,61.0,183,1,1
male,group C,bachelor's degree,standard,completed,94,90,91,91.66666666666667,275,-4,1
female,group C,associate's degree,standard,none,65,77,74,72.0,216,12,1
female,group A,associate's degree,standard,none,82,93,93,89.33333333333333,268,11,1
female,group C,high school,standard,none,60,68,72,66.66666666666667,200,8,1
female,group E,bachelor's degree,standard,none,37,45,38,40.0,120,8,0
male,group D,bachelor's degree,standard,none,88,78,83,83.0,249,-10,1
male,group D,master's degree,standard,none,95,81,84,86.66666666666667,260,-14,1
male,group C,associate's degree,free/reduced,completed,65,73,68,68.66666666666667,206,8,1
female,group C,high school,free/reduced,none,35,61,54,50.0,150,26,0
male,group B,bachelor's degree,free/reduced,none,62,63,56,60.333333333333336,181,1,1
male,group C,high school,free/reduced,completed,58,51,52,53.666666666666664,161,-7,1
male,group A,some college,standard,completed,100,96,86,94.0,282,-4,1
female,group E,bachelor's degree,free/reduced,none,61,58,62,60.333333333333336,181,-3,1
male,group D,some college,standard,completed,100,97,99,98.66666666666667,296,-3,1
male,group B,associate's degree,free/reduced,completed,69,70,63,67.33333333333333,202,1,1
male,group D,associate's degree,standard,none,61,48,46,51.666666666666664,155,-13,1
male,group D,some college,free/reduced,none,49,57,46,50.666666666666664,152,8,1
female,group C,some high school,standard,completed,44,51,55,50.0,150,7,1
male,group D,some college,standard,none,67,64,70,67.0,201,-3,1
male,group B,high school,standard,none,79,60,65,68.0,204,-19,1
female,group B,bachelor's degree,standard,completed,66,74,81,73.66666666666667,221,8,1
female,group C,high school,standard,none,75,88,85,82.66666666666667,248,13,1
male,group D,some high school,standard,none,84,84,80,82.66666666666667,248,0,1
male,group A,high school,standard,none,71,74,64,69.66666666666667,209,3,1
female,group B,high school,free/reduced,completed,67,80,81,76.0,228,13,1
female,group D,some high school,standard,completed,80,92,88,86.66666666666667,260,12,1
male,group E,some college,standard,none,86,76,74,78.66666666666667,236,-10,1
female,group D,associate's degree,standard,none,76,74,73,74.33333333333333,223,-2,1
male,group D,high school,standard,none,41,52,51,48.0,144,11,1
female,group D,associate's degree,free/reduced,completed,74,88,90,84.0,252,14,1
female,group B,some high school,free/reduced,none,72,81,79,77.33333333333333,232,9,1
female,group E,high school,standard,completed,74,79,80,77.66666666666667,233,5,1
male,group B,high school,standard,none,70,65,60,65.0,195,-5,1
female,group B,bachelor's degree,standard,completed,65,81,81,75.66666666666667,227,16,1
female,group D,associate's degree,standard,none,59,70,65,64.66666666666667,194,11,1
female,group E,high school,free/reduced,none,64,62,68,64.66666666666667,194,-2,1
female,group B,high school,standard,none,50,53,55,52.666666666666664,158,3,1
female,group D,some college,standard,completed,69,79,81,76.33333333333333,229,10,1
male,group C,some high school,free/reduced,completed,51,56,53,53.333333333333336,160,5,1
female,group A,high school,standard,completed,68,80,76,74.66666666666667,224,12,1
female,group D,some college,standard,completed,85,86,98,89.66666666666667,269,1,1
female,group A,associate's degree,standard,completed,65,70,74,69.66666666666667,209,5,1
female,group B,some high school,standard,none,73,79,79,77.0,231,6,1
female,group B,some college,standard,none,62,67,67,65.33333333333333,196,5,1
male,group C,associate's degree,free/reduced,none,77,67,64,69.33333333333333,208,-10,1
male,group D,some high school,standard,none,69,66,61,65.33333333333333,196,-3,1
female,group D,associate's degree,free/reduced,none,43,60,58,53.666666666666664,161,17,1
male,group D,associate's degree,standard,none,90,87,85,87.33333333333333,262,-3,1
male,group C,some college,free/reduced,none,74,77,73,74.66666666666667,224,3,1
male,group C,some high school,standard,none,73,66,63,67.33333333333333,202,-7,1
female,group D,some college,free/reduced,none,55,71,69,65.0,195,16,1
female,group C,high school,standard,none,65,69,67,67.0,201,4,1
male,group D,associate's degree,standard,none,80,63,63,68.66666666666667,206,-17,1
female,group C,some high school,free/reduced,completed,50,60,60,56.666666666666664,170,10,1
female,group C,some college,free/reduced,completed,63,73,71,69.0,207,10,1
female,group B,bachelor's degree,free/reduced,none,77,85,87,83.0,249,8,1
male,group C,some college,standard,none,73,74,61,69.33333333333333,208,1,1
male,group D,associate's degree,standard,completed,81,72,77,76.66666666666667,230,-9,1
female,group C,high school,free/reduced,none,66,76,68,70.0,210,10,1
male,group D,associate's degree,free/reduced,none,52,57,50,53.0,159,5,1
female,group C,some college,standard,none,69,78,76,74.33333333333333,223,9,1
female,group C,associate's degree,standard,completed,65,84,84,77.66666666666667,233,19,1
female,group D,high school,standard,completed,69,77,78,74.66666666666667,224,8,1
female,group B,some college,standard,completed,50,64,66,60.0,180,14,1
female,group E,some college,standard,completed,73,78,76,75.66666666666667,227,5,1
female,group C,some high school,standard,completed,70,82,76,76.0,228,12,1
male,group D,associate's degree,free/reduced,none,81,75,78,78.0,234,-6,1
male,group D,some college,free/reduced,none,63,61,60,61.333333333333336,184,-2,1
female,group D,high school,standard,none,67,72,74,71.0,213,5,1
male,group B,high school,standard,none,60,68,60,62.666666666666664,188,8,1
male,group B,high school,standard,none,62,55,54,57.0,171,-7,1
female,group C,some high school,free/reduced,completed,29,40,44,37.666666666666664,113,11,0
male,group B,some college,standard,completed,62,66,68,65.33333333333333,196,4,1
female,group E,master's degree,standard,completed,94,99,100,97.66666666666667,293,5,1
male,group E,some college,standard,completed,85,75,68,76.0,228,-10,1
male,group D,associate's degree,free/reduced,none,77,78,73,76.0,228,1,1
male,group A,high school,free/reduced,none,53,58,44,51.666666666666664,155,5,1
male,group E,some college,free/reduced,none,93,90,83,88.66666666666667,266,-3,1
female,group C,associate's degree,standard,none,49,53,53,51.666666666666664,155,4,1
female,group E,associate's degree,free/reduced,none,73,76,78,75.66666666666667,227,3,1
female,group C,bachelor's degree,free/reduced,completed,66,74,81,73.66666666666667,221,8,1
female,group D,associate's degree,standard,none,77,77,73,75.66666666666667,227,0,1
female,group C,some high school,standard,none,49,63,56,56.0,168,14,1
female,group D,some college,free/reduced,none,79,89,86,84.66666666666667,254,10,1
female,group C,associate's degree,standard,completed,75,82,90,82.33333333333333,247,7,1
female,group A,bachelor's degree,standard,none,59,72,70,67.0,201,13,1
female,group D,associate's degree,standard,completed,57,78,79,71.33333333333333,214,21,1
male,group C,high school,free/reduced,none,66,66,59,63.666666666666664,191,0,1
female,group E,bachelor's degree,standard,completed,79,81,82,80.66666666666667,242,2,1
female,group B,some high school,standard,none,57,67,72,65.33333333333333,196,10,1
male,group A,bachelor's degree,standard,completed,87,84,87,86.0,258,-3,1
female,group D,some college,standard,none,63,64,67,64.66666666666667,194,1,1
female,group B,some high school,free/reduced,completed,59,63,64,62.0,186,4,1
male,group A,bachelor's degree,free/reduced,none,62,72,65,66.33333333333333,199,10,1
male,group D,high school,standard,none,46,34,36,38.666666666666664,116,-12,0
male,group C,some college,standard,none,66,59,52,59.0,177,-7,1
male,group D,high school,standard,none,89,87,79,85.0,255,-2,1
female,group D,associate's degree,free/reduced,completed,42,61,58,53.666666666666664,161,19,1
male,group C,some college,standard,completed,93,84,90,89.0,267,-9,1
female,group E,some high school,standard,completed,80,85,85,83.33333333333333,250,5,1
female,group D,some college,standard,none,98,100,99,99.0,297,2,1
male,group D,master's degree,standard,none,81,81,84,82.0,246,0,1
female,group B,some high school,standard,completed,60,70,74,68.0,204,10,1
female,group B,associate's degree,free/reduced,completed,76,94,87,85.66666666666667,257,18,1
male,group C,associate's degree,standard,completed,73,78,72,74.33333333333333,223,5,1
female,group C,associate's degree,standard,completed,96,96,99,97.0,291,0,1
female,group C,high school,standard,none,76,76,74,75.33333333333333,226,0,1
male,group E,associate's degree,free/reduced,completed,91,73,80,81.33333333333333,244,-18,1
female,group C,some college,free/reduced,none,62,72,70,68.0,204,10,1
male,group D,some high school,free/reduced,completed,55,59,59,57.666666666666664,173,4,1
female,group B,some high school,free/reduced,completed,74,90,88,84.0,252,16,1
male,group C,high school,standard,none,50,48,42,46.666666666666664,140,-2,1
male,group B,some college,standard,none,47,43,41,43.666666666666664,131,-4,1
male,group E,some college,standard,completed,81,74,71,75.33333333333333,226,-7,1
female,group E,associate's degree,standard,completed,65,75,77,72.33333333333333,217,10,1
male,group E,some high school,standard,completed,68,51,57,58.666666666666664,176,-17,1
female,group D,high school,free/reduced,none,73,92,84,83.0,249,19,1
male,group C,some college,standard,none,53,39,37,43.0,129,-14,0
female,group B,associate's degree,free/reduced,completed,68,77,80,75.0,225,9,1
male,group A,some high school,free/reduced,none,55,46,43,48.0,144,-9,1
female,group C,some college,standard,completed,87,89,94,90.0,270,2,1
male,group D,some high school,standard,none,55,47,44,48.666666666666664,146,-8,1
female,group E,some college,free/reduced,none,53,58,57,56.0,168,5,1
male,group C,master's degree,standard,none,67,57,59,61.0,183,-10,1
male,group C,associate's degree,standard,none,92,79,84,85.0,255,-13,1
female,group B,some college,free/reduced,completed,53,66,73,64.0,192,13,1
male,group D,associate's degree,standard,none,81,71,73,75.0,225,-10,1
male,group C,high school,free/reduced,none,61,60,55,58.666666666666664,176,-1,1
male,group D,bachelor's degree,standard,none,80,73,72,75.0,225,-7,1
female,group A,associate's degree,free/reduced,none,37,57,56,50.0,150,20,0
female,group C,high school,standard,none,81,84,82,82.33333333333333,247,3,1
female,group C,associate's degree,standard,completed,59,73,72,68.0,204,14,1
male,group B,some college,free/reduced,none,55,55,47,52.333333333333336,157,0,1
male,group D,associate's degree,standard,none,72,79,74,75.0,225,7,1
male,group D,high school,standard,none,69,75,71,71.66666666666667,215,6,1
male,group C,some college,standard,none,69,64,68,67.0,201,-5,1
female,group C,bachelor's degree,free/reduced,none,50,60,59,56.333333333333336,169,10,1
male,group B,some college,standard,completed,87,84,86,85.66666666666667,257,-3,1
male,group D,some high school,standard,completed,71,69,68,69.33333333333333,208,-2,1
male,group E,some college,standard,none,68,72,65,68.33333333333333,205,4,1
male,group C,master's degree,free/reduced,completed,79,77,75,77.0,231,-2,1
female,group C,some high school,standard,completed,77,90,85,84.0,252,13,1
male,group C,associate's degree,free/reduced,none,58,55,53,55.333333333333336,166,-3,1
female,group E,associate's degree,standard,none,84,95,92,90.33333333333333,271,11,1
male,group D,some college,standard,none,55,58,52,55.0,165,3,1
male,group E,bachelor's degree,free/reduced,completed,70,68,72,70.0,210,-2,1
female,group D,some college,free/reduced,completed,52,59,65,58.666666666666664,176,7,1
male,group B,some college,standard,completed,69,77,77,74.33333333333333,223,8,1
female,group C,high school,free/reduced,none,53,72,64,63.0,189,19,1
female,group D,some high school,standard,none,48,58,54,53.333333333333336,160,10,1
male,group D,some high school,standard,completed,78,81,86,81.66666666666667,245,3,1
female,group B,high school,standard,none,62,62,63,62.333333333333336,187,0,1
male,group D,some college,standard,none,60,63,59,60.666666666666664,182,3,1
female,group B,high school,standard,none,74,72,72,72.66666666666667,218,-2,1
female,group C,high school,standard,completed,58,75,77,70.0,210,17,1
male,group B,high school,standard,completed,76,62,60,66.0,198,-14,1
female,group D,some high school,standard,none,68,71,75,71.33333333333333,214,3,1
male,group A,some college,free/reduced,none,58,60,57,58.333333333333336,175,2,1
male,group B,high school,standard,none,52,48,49,49.666666666666664,149,-4,1
male,group D,bachelor's degree,standard,none,75,73,74,74.0,222,-2,1
female,group B,some high school,free/reduced,completed,52,67,72,63.666666666666664,191,15,1
female,group C,bachelor's degree,free/reduced,none,62,78,79,73.0,219,16,1
male,group B,some college,standard,none,66,65,60,63.666666666666664,191,-1,1
female,group B,some high school,free/reduced,none,49,58,55,54.0,162,9,1
female,group B,high school,standard,none,66,72,70,69.33333333333333,208,6,1
female,group C,some college,free/reduced,none,35,44,43,40.666666666666664,122,9,0
female,group A,some college,standard,completed,72,79,82,77.66666666666667,233,7,1
male,group E,associate's degree,standard,completed,94,85,82,87.0,261,-9,1
female,group D,associate's degree,free/reduced,none,46,56,57,53.0,159,10,1
female,group B,master's degree,standard,none,77,90,84,83.66666666666667,251,13,1
female,group B,high school,free/reduced,completed,76,85,82,81.0,243,9,1
female,group C,associate's degree,standard,completed,52,59,62,57.666666666666664,173,7,1
male,group C,bachelor's degree,standard,completed,91,81,79,83.66666666666667,251,-10,1
female,group B,some high school,standard,completed,32,51,44,42.333333333333336,127,19,0
female,group E,some high school,free/reduced,none,72,79,77,76.0,228,7,1
female,group B,some college,standard,none,19,38,32,29.666666666666668,89,19,0
male,group C,associate's degree,free/reduced,none,68,65,61,64.66666666666667,194,-3,1
female,group C,master's degree,free/reduced,none,52,65,61,59.333333333333336,178,13,1
female,group B,high school,standard,none,48,62,60,56.666666666666664,170,14,1
female,group D,some college,free/reduced,none,60,66,70,65.33333333333333,196,6,1
male,group D,high school,free/reduced,none,66,74,69,69.66666666666667,209,8,1
male,group E,some high school,standard,completed,89,84,77,83.33333333333333,250,-5,1
female,group B,high school,standard,none,42,52,51,48.333333333333336,145,10,1
